rank,uid,title,year,venue,url,problem_claimed,actual_mechanism,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
1,arxiv:2602.08251v2,Aerial Manipulation with Contact-Aware Onboard Perception and Hybrid Control,2026,arXiv,http://arxiv.org/abs/2602.08251v2,Addresses 3D perception for manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Causal scene flow for interaction keeps action-critical alternatives explicit until a physical observation collapses them.
2,arxiv:2506.20566v1,HRIBench: Benchmarking Vision-Language Models for Real-Time Human Perception in Human-Robot Interaction,2025,arXiv,http://arxiv.org/abs/2506.20566v1,Addresses 3D perception for manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Causal scene flow for interaction keeps action-critical alternatives explicit until a physical observation collapses them.
3,doi:10.1108/ir-06-2018-0118,Natural teaching for humanoid robot via human-in-the-loop scene-motion cross-modal perception,2019,Industrial Robot: the international journal of robotics research and application,https://doi.org/10.1108/ir-06-2018-0118,Addresses 3D perception for manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Causal scene flow for interaction keeps action-critical alternatives explicit until a physical observation collapses them.
4,doi:10.3390/s26113541,Sensing the Action: Rethinking Sensor Modalities and Multi-Modal Fusion in Vision–Language–Action Models for Robotic Manipulation,2026,Sensors,https://doi.org/10.3390/s26113541,Addresses 3D perception for manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Causal scene flow for interaction keeps action-critical alternatives explicit until a physical observation collapses them.
5,doi:10.1177/02783649231210325,DUEL: Depth visUal Ego-motion Learning for autonomous robot obstacle avoidance,2024,The International Journal of Robotics Research,https://doi.org/10.1177/02783649231210325,Addresses 3D perception for manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Causal scene flow for interaction keeps action-critical alternatives explicit until a physical observation collapses them.
6,doi:10.1109/tpami.2019.2903179,Unsupervised Learning of a Hierarchical Spiking Neural Network for Optical Flow Estimation: From Events to Global Motion Perception,2019,IEEE Transactions on Pattern Analysis and Machine Intelligence,https://doi.org/10.1109/tpami.2019.2903179,Addresses 3D perception for manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Causal scene flow for interaction keeps action-critical alternatives explicit until a physical observation collapses them.
7,doi:10.1101/2024.11.04.621864,Flow parsing as causal source separation: A computational model for concurrent retrieval of object and self-motion information from optic flow,,,https://doi.org/10.1101/2024.11.04.621864,Addresses 3D perception for manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Causal scene flow for interaction keeps action-critical alternatives explicit until a physical observation collapses them.
8,arxiv:2505.10075v1,FlowDreamer: A RGB-D World Model with Flow-based Motion Representations for Robot Manipulation,2025,arXiv,http://arxiv.org/abs/2505.10075v1,Addresses 3D perception for manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Causal scene flow for interaction keeps action-critical alternatives explicit until a physical observation collapses them.
9,arxiv:2506.16201v1,FlowRAM: Grounding Flow Matching Policy with Region-Aware Mamba Framework for Robotic Manipulation,2025,arXiv,http://arxiv.org/abs/2506.16201v1,Addresses 3D perception for manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Causal scene flow for interaction keeps action-critical alternatives explicit until a physical observation collapses them.
10,doi:10.3390/app10051665,Contingent Task and Motion Planning under Uncertainty for Human–Robot Interactions,2020,Applied Sciences,https://doi.org/10.3390/app10051665,Addresses 3D perception for manipulation or a neighboring robotics mechanism.,"Prior work usually predicts, ranks, filters, or imitates observed behavior rather than preserving unrealized branches.",The observed outcome is enough to supervise the model.,"Contact mode support, embodiment limits, and deployment perturbations.","Branch collapse, hidden-mode shift, and tail-risk planning failures.",Generic world models and generic uncertainty are crowded.,Causal scene flow for interaction keeps action-critical alternatives explicit until a physical observation collapses them.
