stress_axis,stress_level,split,method,mask_f1,ci95_f1,target_success,ci95_success,passive_false_attribution,effect_error,unsafe_contact,risk_upper,causal_utility
passive_flow,0.00,combined_hard_shift,action_direction_projection,0.59618,0.00608,0.54688,0.05344,0.42592,0.43178,0.17813,0.24829,0.41648
passive_flow,0.00,combined_hard_shift,learned_correlation_classifier,0.78031,0.00755,0.66250,0.03001,0.25293,0.35609,0.13437,0.18450,0.57641
passive_flow,0.00,combined_hard_shift,calibrated_tree_flow_proxy,0.79256,0.00749,0.67500,0.04934,0.24896,0.36664,0.10625,0.20850,0.59963
passive_flow,0.00,combined_hard_shift,contrastive_action_flow,0.77945,0.01019,0.70937,0.02052,0.20119,0.28457,0.11563,0.16485,0.62570
passive_flow,0.00,combined_hard_shift,world_model_flow_predictor,0.79616,0.00968,0.68437,0.05807,0.22574,0.39446,0.12812,0.18976,0.60178
passive_flow,0.00,combined_hard_shift,causal_scene_flow_model_v5,0.78662,0.00759,0.64375,0.06139,0.26709,0.43866,0.06250,0.20379,0.59271
passive_flow,0.00,combined_hard_shift,oracle_causal_mask,1.00000,0.00000,0.97500,0.01225,0.00000,0.00000,0.01875,0.01957,0.95575
passive_flow,0.25,combined_hard_shift,action_direction_projection,0.57593,0.00844,0.47813,0.03170,0.49582,0.43038,0.18438,0.26864,0.35260
passive_flow,0.25,combined_hard_shift,learned_correlation_classifier,0.77416,0.01169,0.66563,0.04189,0.26045,0.35142,0.13750,0.18845,0.57545
passive_flow,0.25,combined_hard_shift,calibrated_tree_flow_proxy,0.78488,0.01303,0.66875,0.05100,0.25655,0.36633,0.11875,0.21231,0.58824
passive_flow,0.25,combined_hard_shift,contrastive_action_flow,0.76979,0.01339,0.72500,0.04164,0.21083,0.28380,0.11875,0.16932,0.63231
passive_flow,0.25,combined_hard_shift,world_model_flow_predictor,0.78753,0.01306,0.67812,0.05558,0.23399,0.41629,0.12812,0.19371,0.59350
passive_flow,0.25,combined_hard_shift,causal_scene_flow_model_v5,0.78024,0.01109,0.65000,0.04263,0.27186,0.45681,0.05937,0.20681,0.59538
passive_flow,0.25,combined_hard_shift,oracle_causal_mask,1.00000,0.00000,0.97500,0.01225,0.00000,0.00000,0.01875,0.01997,0.95575
passive_flow,0.50,combined_hard_shift,action_direction_projection,0.58215,0.01716,0.51562,0.04403,0.48631,0.44080,0.19687,0.26844,0.37646
passive_flow,0.50,combined_hard_shift,learned_correlation_classifier,0.77714,0.00741,0.66875,0.04934,0.26137,0.34227,0.13750,0.19114,0.57840
passive_flow,0.50,combined_hard_shift,calibrated_tree_flow_proxy,0.79508,0.00582,0.66875,0.05861,0.24039,0.36019,0.11250,0.21061,0.59473
passive_flow,0.50,combined_hard_shift,contrastive_action_flow,0.78258,0.00779,0.70937,0.03298,0.19623,0.27227,0.10938,0.16797,0.62958
passive_flow,0.50,combined_hard_shift,world_model_flow_predictor,0.79400,0.00688,0.64687,0.06587,0.21485,0.45913,0.13125,0.19168,0.57132
passive_flow,0.50,combined_hard_shift,causal_scene_flow_model_v5,0.78401,0.00684,0.63125,0.05463,0.25395,0.50367,0.07187,0.20521,0.57761
passive_flow,0.50,combined_hard_shift,oracle_causal_mask,1.00000,0.00000,0.97500,0.01225,0.00000,0.00000,0.01875,0.02066,0.95575
